Tender,Date,Competitors,Bid_value_without_inflation,Winner,Bid_value,Bid_value_inflation_raw_milk_price_adjusted_bid,Collusive_competitor,only_cartels_bidding_on_contract,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
97,1980,99,0.14,1,0.14,0.0682,0,0,2,0.0488,0.0714,0.0714,-0.5233,0.0,0.0,0.5,0
97,1980,73,0.15,0,0.15,0.0781999999999999,0,0,2,0.0488,0.0714,0.0714,-0.5233,0.0,0.0,0.5,0
357,1981,43,0.123,1,0.1116902542372881,0.0347902542372881,1,0,2,0.0499,0.0732,0.0732,-5.3239,0.0,0.0,0.5,1
357,1981,99,0.132,0,0.1198627118644067,0.0429627118644067,1,0,2,0.0499,0.0732,0.0732,-5.3239,0.0,0.0,0.5,0
633,1982,99,0.1215,1,0.1029962420886075,0.0269962420886075,1,0,2,0.0639,0.0947,0.0947,-0.5923,0.0,0.0,0.5,0
633,1982,43,0.133,0,0.1127448575949367,0.0367448575949367,1,0,2,0.0639,0.0947,0.0947,-0.5923,0.0,0.0,0.5,1
935,1983,19,0.11,1,0.0891060291060291,0.0127060291060291,0,0,2,0.0703,0.1045,0.1045,1.803,0.0,0.0,0.5,0
935,1983,99,0.1215,0,0.0984216594216594,0.0220216594216594,0,0,2,0.0703,0.1045,0.1045,1.803,0.0,0.0,0.5,0
1266,1984,19,0.125,1,0.097764598540146,0.0236645985401459,1,0,2,0.014,0.02,0.02,11.779,0.0,0.0,0.5,0
1266,1984,64,0.1275,0,0.0997198905109489,0.0256198905109489,1,0,2,0.014,0.02,0.02,11.779,0.0,0.0,0.5,1
1612,1985,19,0.1295,1,0.0978556064880112,0.0270556064880112,1,0,2,0.0162,0.0232,0.0232,0.0,0.0,0.0,0.5,0
1612,1985,64,0.1325,0,0.1001225317348378,0.0293225317348378,1,0,2,0.0162,0.0232,0.0232,0.0,0.0,0.0,0.5,1
1974,1986,19,0.132,1,0.0975098241985522,0.0275098241985522,0,0,2,0.0133,0.0189,0.0189,0.0,0.0,0.0,0.5,0
1974,1986,10,0.1345,0,0.0993566011720096,0.0293566011720096,0,0,2,0.0133,0.0189,0.0189,0.0,0.0,0.0,0.5,0
2364,1987,19,0.1345,1,0.0970156512958599,0.0269156512958599,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2774,1988,19,0.1369999999999999,1,0.0961962647444298,0.0295962647444298,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3174,1989,43,0.1369999999999999,1,0.0923968528717545,0.0215968528717545,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3544,1990,43,0.1657,1,0.1078660692588092,0.0281660692588092,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61,1980,43,0.1345,1,0.1345,0.0627,1,0,4,0.088,0.2268,0.0595,-9.4281,1.9831,1.168,0.373,1
61,1980,22,0.146,0,0.146,0.0741999999999999,1,0,4,0.088,0.2268,0.0595,-9.4281,1.9831,1.168,0.373,1
61,1980,64,0.1425,0,0.1425,0.0706999999999999,1,0,4,0.088,0.2268,0.0595,-9.4281,1.9831,1.168,0.373,1
61,1980,119,0.165,0,0.165,0.0932,1,0,4,0.088,0.2268,0.0595,-9.4281,1.9831,1.168,0.373,0
315,1981,43,0.1069,1,0.0970706355932203,0.0201706355932203,1,0,4,0.0665,0.1693,0.0477,4.1764,0.5394,0.6784,0.25,1
315,1981,11,0.1159999999999999,0,0.1053338983050847,0.0284338983050847,1,0,4,0.0665,0.1693,0.0477,4.1764,0.5394,0.6784,0.25,0
315,1981,22,0.125,0,0.1135063559322033,0.0366063559322033,1,0,4,0.0665,0.1693,0.0477,4.1764,0.5394,0.6784,0.25,1
315,1981,64,0.1119999999999999,0,0.1017016949152542,0.0248016949152542,1,0,4,0.0665,0.1693,0.0477,4.1764,0.5394,0.6784,0.25,1
591,1982,43,0.1397,1,0.1184244857594936,0.0424244857594936,1,1,3,0.0132,0.0236,0.0229,-14.7043,0.0,-1.7265,0.6364,1
591,1982,22,0.143,0,0.1212219145569619,0.045221914556962,1,1,3,0.0132,0.0236,0.0229,-14.7043,0.0,-1.7265,0.6364,1
591,1982,64,0.1429,0,0.1211371439873417,0.0451371439873417,1,1,3,0.0132,0.0236,0.0229,-14.7043,0.0,-1.7265,0.6364,1
892,1983,64,0.1019,1,0.0825445851445851,0.0061445851445851,1,1,3,0.0649,0.1384,0.0834,2.9552,0.0,-0.6014,0.3333,1
892,1983,22,0.1159999999999999,0,0.0939663579663579,0.0175663579663579,1,1,3,0.0649,0.1384,0.0834,2.9552,0.0,-0.6014,0.3333,1
892,1983,43,0.1104,0,0.089430051030051,0.013030051030051,1,1,3,0.0649,0.1384,0.0834,2.9552,0.0,-0.6014,0.3333,1
1218,1984,64,0.133,1,0.1040215328467153,0.0299215328467153,1,1,3,0.0467,0.0902,0.015,-5.8688,0.0,1.5454,0.5,1
