Tender,Bid,Competitors,Bid_value,Difference Bid/PTE,Date,Site,Brazilian State,Collusive_competitor,Pre-Tender Estimate (PTE),Number_bids,Winner,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
1,1,216,107807690.49,0.06878733584587193,1274918400,7,1,0,100869169.08,11,1.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,2,210,116619983.74,0.15615093098970534,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,3,76,129950000.0,0.2883024732456734,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,4,72,150358226.95,0.49062620740684304,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,5,53,157831420.93,0.5647141973066405,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,6,230,167597129.07,0.661529787531784,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,7,50,174390179.87,0.7288749521837541,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,8,75,181365000.0,0.7980221474428746,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,9,78,181700527.75,0.801348513200224,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,10,80,194974613.79,0.9329455726493032,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
1,11,52,245224367.72,1.4311131930264138,1274918400,7,1,0,100869169.08,11,0.0,0.2363,1.2746,0.0817,0.2978,0.7286,0.4923,0.2805,0
2,12,1,93354790.62,-0.10840460229096804,1232409600,11,8,0,104705330.31,4,1.0,0.0932,0.2373,0.1165,1.1331,-0.6638,-0.8518,0.3639,0
2,13,12,104231102.75,-0.004529163497177913,1232409600,11,8,0,104705330.31,4,0.0,0.0932,0.2373,0.1165,1.1331,-0.6638,-0.8518,0.3639,0
2,14,7,112493190.56,0.07437883273891188,1232409600,11,8,0,104705330.31,4,0.0,0.0932,0.2373,0.1165,1.1331,-0.6638,-0.8518,0.3639,0
2,15,8,115507668.06,0.10316893818125239,1232409600,11,8,0,104705330.31,4,0.0,0.0932,0.2373,0.1165,1.1331,-0.6638,-0.8518,0.3639,0
3,16,79,117491879.01,0.055285755820371874,1241654400,0,8,0,111336553.5,6,1.0,0.1795,0.5257,0.0769,0.3903,-2.2615,0.3137,0.3342,0
3,17,17,126530000.0,0.13646413530067902,1241654400,0,8,0,111336553.5,6,0.0,0.1795,0.5257,0.0769,0.3903,-2.2615,0.3137,0.3342,0
3,18,27,127730159.48,0.14724369908524482,1241654400,0,8,0,111336553.5,6,0.0,0.1795,0.5257,0.0769,0.3903,-2.2615,0.3137,0.3342,0
