Tender,Date,Site,Pre-Tender Estimate (PTE),Competitors,Name competitors,Winner,Collusive_competitor,Bid_value,Difference Bid/PTE,Number_bids,Period investigation by JFTC,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
2,1050537600,115,14952000.0,1305,HEISEIKAIHATSU,0,0,11169000,0.7843398876404495,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,881,YAMAZATODOKEN,1,0,11427370,0.8024838483146067,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,685,MARUSARUKENSETSU,0,0,11456000,0.8044943820224719,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,691,MARUMORIGUMI,0,0,11487700,0.8067205056179775,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,125,GIMAKENSETSU,0,0,11492000,0.8070224719101123,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,1228,TOKAIKOGYOKENSETSU,0,0,12000000,0.8426966292134831,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,97,MARUHITOKUMI,0,0,12500000,0.8778089887640449,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,718,GIMADOBOKU,0,0,13900000,0.976123595505618,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,599,UKOJOGUMI,0,0,14000000,0.9831460674157303,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
2,1050537600,115,14952000.0,682,MARUITODOBOKU,0,0,14500000,1.0182584269662922,10,pre-inspection,0.1021,0.2982,0.0231,0.2375,-1.2043,0.8118,0.403,0
3,1051228800,115,23667000.0,125,GIMAKENSETSU,1,0,18066720,0.8015403726708075,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,304,TAIYU,0,0,18112000,0.8035492457852706,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,691,MARUMORIGUMI,0,0,18114100,0.8036424134871339,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,32,HIRATASANGYO,0,0,19970000,0.885980479148181,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,1393,HAYASHIKANKENSETSU,0,0,20946000,0.9292812777284827,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,1283,HIGAGUMI,0,0,21000000,0.9316770186335404,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,178,KODAIKENSETSU,0,0,22000000,0.9760425909494232,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,718,GIMADOBOKU,0,0,22300000,0.9893522626441881,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,599,UKOJOGUMI,0,0,22500000,0.9982253771073647,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
3,1051228800,115,23667000.0,715,KINOUGUMI,0,0,22610000,1.0031055900621118,10,pre-inspection,0.0916,0.2515,0.0025,0.0245,-1.638,-0.4335,0.2896,0
4,1052352000,84,38800000.0,1293,HAMASHINDOKEN,1,0,36400000,0.9850515463917526,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,785,KANESHIRODOKEN,0,0,36637000,0.991465206185567,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,179,KOTAKARAKENSETSU,0,0,36670000,0.9923582474226804,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,1059,KURASHIMOKUMI,0,0,36684000,0.9927371134020618,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,999,YOITSUKIKENSETSU,0,0,36698000,0.9931159793814432,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,1070,DAIANGUMI,0,0,36750000,0.9945231958762887,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,591,IHEYAKOGYO,0,0,36800000,0.9958762886597938,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,933,UEHARAGUMI,0,0,36860000,0.9975,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,586,ITOKENSETSU,0,0,36875000,0.9979059278350515,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
4,1052352000,84,38800000.0,1100,OSHIROKENSETSU,0,0,36900000,0.9985824742268041,10,pre-inspection,0.004,0.0137,0.0065,1.6591,1.7464,-1.0795,0.374,0
5,1052697600,56,15800000.0,852,SANKOKENSETSUKOGYO,1,0,14600000,0.970253164556962,10,pre-inspection,0.0082,0.0282,0.0027,0.4312,0.4611,0.6144,0.2453,0
