Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
235254.7,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
210899.15,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,1.0
224101.25,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
220034.35,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
316317.3,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
325203.25,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
297890.6,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,1.0
309822.05,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
141967.15,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,0.0
144485.4,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,0.0
132293.5,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,1.0
385077.1,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
390437.35,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
399297.95,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
367923.35,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,1.0
