Bid_value,Collusive_competitor,Consortium,Tender,Date,Winner,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
1087159.35,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1073317.65,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1031052.95,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1087925.8,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1062036.05,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
998705.65,1.0,1.0,112,917568000,1.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1062365.55,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1050742.65,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1068163.0,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1057941.9,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1099219.75,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
998705.65,1.0,1.0,112,917568000,1.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
1167717.7,1.0,0.0,112,917568000,0.0,13,0.0411,0.1692,0.0324,0.9961,1.8086,0.6115,0.3284
5895737.6,1.0,1.0,113,919987200,1.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6135573.25,1.0,2.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
5895737.6,1.0,1.0,113,919987200,1.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6245958.55,1.0,3.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6135573.25,1.0,2.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6245958.55,1.0,3.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6135573.25,1.0,2.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
6245958.55,1.0,3.0,113,919987200,0.0,8,0.0238,0.0594,0.0407,1.8257,-0.6349,-0.9348,0.4348
847947.1,1.0,0.0,114,920246400,1.0,9,0.0195,0.0744,0.0346,1.8714,3.2099,-1.3164,0.3542
884780.9,1.0,0.0,114,920246400,0.0,9,0.0195,0.0744,0.0346,1.8714,3.2099,-1.3164,0.3542
911047.45,1.0,0.0,114,920246400,0.0,9,0.0195,0.0744,0.0346,1.8714,3.2099,-1.3164,0.3542
