Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
429948.95,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
318633.1,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,1.0
347847.35,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
430459.35,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
389221.05,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
453522.4,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
372197.75,1,1.0,41,2562,7,0.1252,0.4233,0.0917,0.6541,-1.2606,-0.2589,0.2538,1.0,0.0
2620438.35,1,3.0,47,3660,5,0.0919,0.229,0.0301,0.3158,-2.6977,-0.1262,0.3128,1.0,1.0
2699269.45,1,3.0,47,3660,5,0.0919,0.229,0.0301,0.3158,-2.6977,-0.1262,0.3128,0.0,0.0
2953252.0,1,3.0,47,3660,5,0.0919,0.229,0.0301,0.3158,-2.6977,-0.1262,0.3128,0.0,0.0
3220531.45,1,3.0,47,3660,5,0.0919,0.229,0.0301,0.3158,-2.6977,-0.1262,0.3128,1.0,0.0
3168183.9,1,3.0,47,3660,5,0.0919,0.229,0.0301,0.3158,-2.6977,-0.1262,0.3128,1.0,0.0
276168.05,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,0.0,0.0
282777.8,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,1.0,0.0
283774.15,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,1.0,0.0
297295.75,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,0.0,0.0
312276.95,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,1.0,0.0
317727.15,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,0.0,0.0
321110.3,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,1.0,0.0
336059.55,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,0.0,0.0
249950.25,1,2.0,49,2562,9,0.0905,0.3445,0.1049,1.0811,-0.4176,-0.3324,0.1934,1.0,1.0
170656.7,0,3.0,61,2562,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
581754.8,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,1.0,0.0
427267.75,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,0.0,0.0
342675.95,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,1.0,1.0
356177.55,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,0.0,0.0
399214.2,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,1.0,0.0
430161.5,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,0.0,0.0
424677.9,1,2.0,64,2562,7,0.185,0.6977,0.0394,1.1535,3.2464,1.5361,0.4912,1.0,0.0
713179.5,1,1.0,66,2928,3,0.1303,0.2912,0.1049,2.4611,0.0,0.7996,0.3333,1.0,1.0
920864.15,1,1.0,66,2928,3,0.1303,0.2912,0.1049,2.4611,0.0,0.7996,0.3333,1.0,0.0
788004.3,1,1.0,66,2928,3,0.1303,0.2912,0.1049,2.4611,0.0,0.7996,0.3333,0.0,0.0
442480.8,1,1.0,67,2928,5,0.0471,0.1128,0.0031,0.1835,0.5542,1.2913,0.538,1.0,0.0
490864.85,1,1.0,67,2928,5,0.0471,0.1128,0.0031,0.1835,0.5542,1.2913,0.538,0.0,0.0
465875.0,1,1.0,67,2928,5,0.0471,0.1128,0.0031,0.1835,0.5542,1.2913,0.538,0.0,0.0
441120.9,1,1.0,67,2928,5,0.0471,0.1128,0.0031,0.1835,0.5542,1.2913,0.538,0.0,1.0
444205.45,1,1.0,67,2928,5,0.0471,0.1128,0.0031,0.1835,0.5542,1.2913,0.538,1.0,0.0
1004537.6,1,2.0,68,2928,3,0.0919,0.2022,0.0996,2.7282,0.0,0.0442,0.3333,0.0,1.0
1104600.7,1,2.0,68,2928,3,0.0919,0.2022,0.0996,2.7282,0.0,0.0442,0.3333,0.0,0.0
1207657.0,1,2.0,68,2928,3,0.0919,0.2022,0.0996,2.7282,0.0,0.0442,0.3333,1.0,0.0
196972.05,1,1.0,70,2928,5,0.0582,0.1619,0.0295,0.3019,-0.2181,0.4001,0.228,1.0,0.0
169522.95,1,1.0,70,2928,5,0.0582,0.1619,0.0295,0.3019,-0.2181,0.4001,0.228,1.0,1.0
