Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
235254.7,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
210899.15,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,1.0
224101.25,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
220034.35,1,1.0,1,366,4,0.0454,0.1155,0.0433,1.3511,0.7632,0.2826,0.25,1.0,0.0
385077.1,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
390437.35,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
399297.95,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,0.0
367923.35,1,1.0,4,366,4,0.0343,0.0853,0.0466,1.4586,1.1949,-0.8589,0.2967,1.0,1.0
154973.1,1,1.0,8,366,5,0.0404,0.1062,0.0521,1.2535,-0.0277,-0.7206,0.3524,1.0,1.0
164369.7,1,1.0,8,366,5,0.0404,0.1062,0.0521,1.2535,-0.0277,-0.7206,0.3524,1.0,0.0
171431.55,1,1.0,8,366,5,0.0404,0.1062,0.0521,1.2535,-0.0277,-0.7206,0.3524,1.0,0.0
170647.7,1,1.0,8,366,5,0.0404,0.1062,0.0521,1.2535,-0.0277,-0.7206,0.3524,1.0,0.0
163049.3,1,1.0,8,366,5,0.0404,0.1062,0.0521,1.2535,-0.0277,-0.7206,0.3524,1.0,0.0
486038.3,1,1.0,10,732,5,0.0414,0.1228,0.0631,1.771,1.7201,-0.5248,0.3139,1.0,0.0
505110.45,1,1.0,10,732,5,0.0414,0.1228,0.0631,1.771,1.7201,-0.5248,0.3139,1.0,0.0
