Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
425919.55,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
352734.55,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,1.0
396849.75,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
439628.25,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
413365.9,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
468637.25,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
419506.6,1,1.0,40,2562,7,0.0866,0.3286,0.1251,1.4448,1.3265,-0.5748,0.2378,1.0,0.0
488827.35,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
376196.0,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,1.0
386837.55,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
412534.5,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
397900.0,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
411786.65,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
444539.25,1,1.0,42,2562,7,0.0924,0.2994,0.0283,0.4437,1.1663,1.1849,0.3917,1.0,0.0
430230.55,1,1.0,43,2562,7,0.1017,0.29,0.0143,0.1379,-1.9629,-0.0519,0.2473,1.0,0.0
338275.55,1,1.0,43,2562,7,0.1017,0.29,0.0143,0.1379,-1.9629,-0.0519,0.2473,1.0,0.0
