Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
316317.3,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
325203.25,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
297890.6,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,1.0
309822.05,1,1.0,2,366,4,0.0368,0.0917,0.0401,1.2766,0.0848,-0.3528,0.25,1.0,0.0
141967.15,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,0.0
144485.4,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,0.0
132293.5,1,1.0,3,366,3,0.0461,0.0922,0.0731,1.4142,0.0,-1.4386,0.4601,1.0,1.0
456995.05,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,0.0,1.0
473364.25,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
491769.5,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
523231.4,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,0.0,0.0
537875.85,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
545304.65,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
551526.05,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
552695.15,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,1.0,0.0
560405.9,1,1.0,5,366,9,0.073,0.2263,0.0358,0.4357,-1.0139,-0.7892,0.3377,0.0,0.0
2956497.1,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,0.0,0.0
2780121.55,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,0.0,0.0
3039740.05,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,1.0,0.0
2735006.4,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,1.0,0.0
2721932.2,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,0.0,1.0
2784985.8,1,1.0,6,366,6,0.046,0.1168,0.0048,0.1391,-0.8863,0.9871,0.4683,0.0,0.0
299225.6,1,1.0,7,366,5,0.0219,0.0568,0.0328,1.4766,0.8257,-0.9752,0.3774,1.0,0.0
299230.3,1,1.0,7,366,5,0.0219,0.0568,0.0328,1.4766,0.8257,-0.9752,0.3774,1.0,0.0
305302.5,1,1.0,7,366,5,0.0219,0.0568,0.0328,1.4766,0.8257,-0.9752,0.3774,1.0,0.0
306184.1,1,1.0,7,366,5,0.0219,0.0568,0.0328,1.4766,0.8257,-0.9752,0.3774,1.0,0.0
289716.8,1,1.0,7,366,5,0.0219,0.0568,0.0328,1.4766,0.8257,-0.9752,0.3774,1.0,1.0
599693.2,1,1.0,9,732,6,0.0291,0.0843,0.0701,2.1601,5.4846,-2.2981,0.6654,1.0,1.0
643181.15,1,1.0,9,732,6,0.0291,0.0843,0.0701,2.1601,5.4846,-2.2981,0.6654,1.0,0.0
642747.2,1,1.0,9,732,6,0.0291,0.0843,0.0701,2.1601,5.4846,-2.2981,0.6654,1.0,0.0
644954.95,1,1.0,9,732,6,0.0291,0.0843,0.0701,2.1601,5.4846,-2.2981,0.6654,0.0,0.0
